Length;Prime;GenPrimeTime;ProbTestOnPrimeTime;TestOnCompTime
1650;89204088563956516489355920782889732556569724709799950326510845274207607289660034777517555641845765588367898059748581623606210240221539584523423444134618960681812225721612611871868357734368909447659897195002044292222178388410028639528577464450851651337781982874396515593341320576168333966391728085626766196375151061771931638331353173670618757145080931071300474150902388596802471623523603503043832460608696432004196959652921117498911823689292091331427247455534103987238141304002859194907695641556643;0.0135218080;0.0189442380;0.0000007110
1670;68983455893935396795130972922142730886301698713195750280719490148271309792906203559747200736361142687989698696697325899410161368920823471842895337585503798998395200536321443501079486782059964389180879486442204387242797174473087568601799688411121337264957952507366691099111217100798479358524225159125717489506896470585396739552019096145143752119046782026463559739426914969942683260988957879093270208777167709141991244496849910545528485162487210541086422016394412521048203786670055441929843589542149562813;0.0963400730;0.0205442900;0.0000010440
1690;93351200259870542890864585031899203014315632294928621465098130415038524547872500947707287551573439834621421910830032105229263365319631143312054664658576143713240911125596100555313000249951119332312692569456792936975105801333519577099291332518164776515405550345508012800933418096785649642699873718832381025013558807584988193321440119098144936418736245212512153975630724130734065086622063421540247738582644926224137273198986110280874582113805973933853640242373924692859313133171856871418449947573978443444203369;0.2049724690;0.0202344950;0.0000007960
1710;79304474269435596796837353149675531287752825421918103011209614637505669801616536818671613670559671976654060109089922833712924123570183408329112337790575349718103802499030384409655225482960941724163307356059055213144379975268254401839390761579051943578787915135466560678486674348621461675176260259101614361714809939329194113774243718576984584885172861082628468491761218538001419949421644966542839102935769045967225429743976525311581617982399251491657352398115789436386695472453781651390235646543450068228857062106181;0.0827503510;0.0207329740;0.0000007700
1730;95730694488213768995022004458612760609076906242231665599331941365665122698765535225028172222950230896988604784635496759978299511343779270157163134364117953574441128163307704488280094121363614608681721864888175153623412654623504688943719845456401308995602839371844662512831155547129048882070547829016034237738617794309125294531411002972988509737816089554681342311393951249578789015824188496564693231291725960014311988560026588180292102063826942420614927244132656427558723672967810593746295457208202767659401692952712583171;0.0263282350;0.0239371060;0.0000117590
1750;109697874060503060483444232843541437322471910873749688862964763937178439104857786236323126881918893292844117191349379159487635219101176687090019820978594847477972886758263571393415091474474244751416286829329155054876238758646830830266842764192376738088560540199600141822754557945819808486331296335549927415484326350093081618898051430100764863390452340094204017426864670686172844235553019323269605373342157473984580027797589114622815043983210978823283638360261478628356533054550012010813503786244173598458033849007110221119874931;0.0390571070;0.0233414780;0.0000015190
1770;102977649125350766283150534806961782643690359869760843859840555656379084492803885865493181552369632355543422521582967115766904247035623087594508514967585977473779883291204037847349408581991249844891173188898950418009523012620442238536017361458197137965242691117164656701906585309149187593950183917931142704310469537044442786050435161796079974913830612124637834850611014716369880555875641139186380455500929082423561620288045648960344801721224211022377257973852329378175358933772527594008244563103286248927215120502011608833532490790667;0.0921297340;0.0267204200;0.0000014060
1790;75706695085373412028923304434651356827452824661133695168543222104820852340583456629441624730992659577413282837019394194890997466421847080277021476353537504865852425080218471948373267820974565656683687382543964991215001218030028531794318712756421605768505701715819206926975423319179125996109594415839100011076693344046195323809928879611892991666042597018388753664856576237720083134286332269753737162375955012976055038261376075777006752601271011610616856873512276700769901448662052207981001691865345429954675638212804848721199300163538708581;0.1481068200;0.0250774380;0.0000115940
1810;113591037959300666715245615157041070702306705898947035415307836898212172635138695261187065552369858753376261068662381992439746792363900931530235575317170777808982768611278076368792233788426855680020247939638645674360505960337776765989283524401185327965254082281303345569251206329230452657180032725461874250395916538724854646917333607180652287439322681272477345909562205072293906212755097346041530317300042318034827787183223842220986642094459536665337476689186077749302726885684502308686902433033188743485681909068546019641453688585652858603399257;0.0504058300;0.0266067550;0.0000014350
1830;92693878335136686089087532875444253185962523217750592879803929827007350639254273686114466298454227308639862170298126405594665560183290121217388795790523934609010714338340777792154444829641464975801337780880216858145151146497370050149009026579551807804736695681161886287504564118820007042271856207885596938824727990577015391573587392066279582250279988360779458019617310584948031462070040313848456155692069596717807279664944502436125155561197186874808871859563297822845107530451351991314508550728122721063726697832002344312139853400000660572071557470941;0.2399271010;0.0252844820;0.0000008170
1850;116000780349097628295125790201619317807130986108453494691926519454150737466031583670799201625453882053282042789159460858287121241315160044919309936794055431981538752019293302808656238200691776641555099003119359881394231773643396658356910874266768716030032266354914029198358665031999923423218442430880723644326399083352949804086140975141679945376491194967044517911347269845203757951445737318611328372974953911449040966174584270596731308095497264344318726280096362187504186335651520167495648855119813189903929335146626475527965478042062036757688716187833724559;0.1207404580;0.0279982950;0.0000011880
1870;130962080142708083471902710782728200795437437190189666267790195924382625725847753267212627810239896277103919720984715950858976380806226428357584834521468256338588703301915875133911196025685455696237983708889072852247156054963185225110068901481510545770315352498549561556645737866010321943141770883730759630105865895596414120806329387918613454031980251609620634919203024103750194537314066081038455810597494004721121088682422248539854709683105812735616412193226776760381794158785238554361223695235560809536555048272178390613256149535216313427491055581249254937212777;0.0537693750;0.0294473030;0.0000011840
1890;171301579692762656324094870533648507558616767987152681361718585946388774271619952419622776242764275053485834953428382231738657552729440908982612766419279172685360770352359641559870060152485135439839996522349957624138511394666727039789322695218397471495039995886379244498950682812637529988372527167958439035375993140088156814916237362512294391009372476748602018919294879851123995352171237434252506727425094555973728189914612838543478232211971081059206774647795821807247112782362454995549558366664114592757748439405399690356791066002900725706827560952424418957255566632301;0.2295479100;0.0286880350;0.0000010930
1910;149196098377196529471367450009613069818871482304152253515204398889645928596324768679652873464785264698593385235873491541552138038495318836071018596500983395162867956622062871320130690570159452929320019153891896176783538155695525981870870208776630809468005537800941615818891884964095579860480627144309360305106616253415176456341052817853206880506185290724961181159513459512396194908181804072400459966919583093664247033094415650433645294216559890127788933390314658319052914867611925229150634433762974041923235439514150742176996958499830204359853857802847094437209528050947942313;0.3987397740;0.0294196320;0.0000015600
1930;170793489557101703540310857938144518112408368126837233201544310060812179837268623727005047567665879391263545799211795235720389544975476764535219287455110837938528520149043726622756725049860919901638370682234482985657695961609271791811464648447257986030135036827501052570081622190607088521820819907216212641936005940024518425417558696249403026273125857159385205456546149824855719753649018845774438536594691261933583514845338886486897268827335857693302565577251061018759227355054568387000947305716034282418687188102635891754308651899988064298154398532306660257878948576730283387532429;0.0452908660;0.0319095090;0.0000014480
1950;141873436896603027054320191447460288984978011667720299934946389208055456552311145426170124849091984510398823314115650762354355976399065283509986547120972549172576668389347510811431558419416501762182401488469365732568631387682165711545432576107452875182210863733376643315660554460470000088748485859700381170605199889560426966756998525173509953082290974056742571078258511319541333563048195814970271454334331511198139492748784514665106884558885939825286055011541637179689453082204295398790041134322100769933838646429675389450067096422803905852687908849812139755983067497561990088981856209219;0.0689397220;0.0320047360;0.0000016290
1970;144053063035986400527775477196372908531648312236470345152482604525405496409848056812137716037603350827131043009539678218479242110891661948674047717265349388193979653585695681625230556005058034999074616835884727445826577768965143989441349485974719219436101243663755630041617166721855781639526777772698885654719766857942274928212821547034338055299315909177157314106615369278937627229484421054477645773567262265360806699502271145662371698454055860583351834730017650134561833407645664500179576298806199808268345826960819422491343977861502411779589088668911540574746205344618832344354210568185298899;0.4000869690;0.0306946030;0.0000013040
1990;212704736903277343535074218876172087815311227370448157597579258028059585843725105714397200154807303254145369212103848490960208353317934738700055755824810056980676065737574512279993773562613295902726439996587616257524613647725814037871713629820964178960428560011870849995817429728466437309931355038299223591590648755769345015531477117687959139777638958445528092700849943913467143342110078310324418806629134116534322853958118707147221875706275091497804344052266585066691531102677976832283203828176647248527308076217277785828460434795237469580510583716474239227190303947249681856704615960345949250040307;0.0323742050;0.0398644120;0.0000011540
2010;147607718677612465114654657371732564601194712103240930293906353306021310058119103639441661785395188027684065959809934001792693878658364837428437394769990014712035297139009451918264301875460631441998228368713653327987653577231791017795470544671325635547225193784361350830228371063395104652834252950033745131748939143017626453277902356414442460526719107599392856570205294877472943389219107704281510759068605732120415051607078791532454345917007936457232145067719526176649570407658072736410969904963811177403189721198032712324197107376888599111991821282719185443571603827498919987360975248576306918886231895381;0.3445920240;0.0419221910;0.0000016310
2030;145786497482488563550013298677286571401435719363754128418721117785569018268228689617353790576293020366697831064279678201452460002756772938055327249125638449953726486889750387219113976757150367419083090573694522962993341067712049205752830606428812179410413835733095950039903920363111027190253135923784368541399313315812246180694824182257357002787040803572109007046649166128116594829575364581704279333097239785780742184863009976291916589778179675238068439871748849142878851651771707101303995311415070743236760921687826290353739847235985914219531526894630611969235967474601197638052512106832021609371302284372083037;0.0216414470;0.0419118860;0.0000015240
