Length;Input;Sum;Substract;Multipl;Divide1;Divide2;OutputToStr
4121;0.010953;0.000015;0.000016;0.002989;0.007119;0.007324;1.890618
4141;0.011893;0.000016;0.000019;0.002610;0.005461;0.005705;1.895363
4161;0.010215;0.000027;0.000023;0.002998;0.007487;0.006927;1.901911
4181;0.008433;0.000013;0.000017;0.003083;0.005026;0.005618;1.960621
4201;0.009767;0.000019;0.000021;0.003013;0.007503;0.006188;2.057218
4221;0.011372;0.000015;0.000018;0.003102;0.006111;0.006245;1.997124
4241;0.008401;0.000031;0.000022;0.002368;0.006054;0.005995;2.038471
4261;0.008544;0.000023;0.000022;0.002454;0.006444;0.006680;2.024317
4281;0.011407;0.000024;0.000024;0.003148;0.010759;0.009849;2.074094
4301;0.011626;0.000014;0.000017;0.003117;0.007687;0.007622;2.104653
4321;0.008930;0.000016;0.000017;0.003342;0.006638;0.006694;2.146701
4341;0.012497;0.000014;0.000017;0.003497;0.007759;0.008368;2.090290
4361;0.012027;0.000014;0.000017;0.002813;0.007611;0.007350;2.115968
4381;0.011012;0.000020;0.000021;0.003615;0.006011;0.005705;2.257234
4401;0.008611;0.000021;0.000019;0.002246;0.008499;0.010013;2.054751
4421;0.012460;0.000011;0.000013;0.002295;0.005425;0.005002;2.184867
4441;0.010320;0.000028;0.000023;0.002389;0.008553;0.007463;2.180786
4461;0.013361;0.000018;0.000017;0.003447;0.006914;0.007422;2.230237
4481;0.012466;0.000028;0.000032;0.003161;0.008041;0.007865;2.228429
4501;0.012547;0.000017;0.000019;0.003917;0.006853;0.007327;2.253534
4521;0.013614;0.000026;0.000027;0.003654;0.010015;0.008609;2.259603
4541;0.013222;0.000019;0.000021;0.003726;0.006684;0.007052;2.309097
4561;0.012433;0.000047;0.000023;0.003924;0.007697;0.008546;2.347415
4581;0.013515;0.000019;0.000020;0.003084;0.008488;0.008007;2.390325
4601;0.013601;0.000015;0.000017;0.003858;0.006630;0.007139;2.355354
4621;0.013162;0.000020;0.000019;0.003649;0.007292;0.006748;2.332805
4641;0.012936;0.000016;0.000019;0.003525;0.010792;0.010236;2.391873
4661;0.013280;0.000039;0.000026;0.004125;0.008466;0.008726;2.454072
4681;0.014241;0.000014;0.000018;0.003780;0.006609;0.006816;2.543052
4701;0.014048;0.000015;0.000019;0.003882;0.009978;0.009325;2.374821
4721;0.012937;0.000031;0.000023;0.004093;0.007547;0.007833;2.490562
4741;0.014250;0.000023;0.000019;0.003936;0.007902;0.008106;2.467279
4761;0.014387;0.000016;0.000020;0.003890;0.008218;0.008841;2.463662
4781;0.014247;0.000026;0.000019;0.003320;0.010132;0.010467;2.558699
4801;0.012894;0.000034;0.000024;0.004208;0.010579;0.011251;2.524908
4821;0.013340;0.000033;0.000025;0.004239;0.007095;0.007344;2.603527
4841;0.014638;0.000022;0.000020;0.003573;0.008766;0.007846;2.597386
4861;0.014721;0.000013;0.000016;0.003530;0.006288;0.006240;2.603799
4881;0.014874;0.000029;0.000021;0.004026;0.007526;0.007119;2.603990
4901;0.014394;0.000022;0.000021;0.004289;0.008825;0.009247;2.635684
4921;0.014225;0.000032;0.000037;0.004477;0.008796;0.008764;2.685304
4941;0.014481;0.000017;0.000018;0.004459;0.007968;0.009172;2.706861
4961;0.014508;0.000015;0.000018;0.004603;0.006931;0.007190;2.691930
4981;0.014735;0.000017;0.000017;0.004354;0.007353;0.007140;2.717597
5001;0.014913;0.000031;0.000026;0.004556;0.009180;0.009575;2.716627
5021;0.014946;0.000019;0.000016;0.003914;0.010330;0.011810;2.815504
5041;0.015969;0.000021;0.000023;0.004438;0.010213;0.010547;2.715458
5061;0.015154;0.000029;0.000033;0.004685;0.008045;0.008005;2.887359
5081;0.015695;0.000026;0.000030;0.003620;0.010236;0.010126;2.864333
5101;0.016098;0.000027;0.000021;0.003940;0.010152;0.010634;2.849609
5121;0.014064;0.000045;0.000041;0.005007;0.012374;0.012473;2.875546
5141;0.016559;0.000020;0.000020;0.004542;0.009341;0.009849;2.858260
5161;0.015956;0.000017;0.000017;0.003624;0.008984;0.008492;2.865218
5181;0.017384;0.000018;0.000022;0.004798;0.009029;0.007798;2.952782
5201;0.015795;0.000029;0.000034;0.004339;0.010756;0.011373;2.838370
5221;0.016276;0.000046;0.000041;0.005104;0.009555;0.010095;3.019177
